,distance,lgrb_l,lgrb,lgrb_u,ccsn_l,ccsn,ccsn_u,sgrb_l,sgrb,sgrb_u,sn_l,sn,sn_u
10,2.8321164796948564,4.6624267334644635e-18,3.5774595061802807e-17,2.03797898097975e-16,1.759406314514892e-12,9.383500344079424e-12,3.078961050401061e-11,6.2491652105775386e-18,1.2994952821995677e-16,4.179905207075042e-15,2.4831120042029955e-13,5.75254280973694e-13,1.158785601961398e-12
11,3.1428396403362053,6.371684948376248e-18,4.888965809445926e-17,2.785107571774523e-16,2.4044094144816028e-12,1.2823516877235216e-11,4.207716475342805e-11,8.539952907095456e-18,1.7758577568397175e-16,5.712153931236034e-15,3.3933587710313073e-13,7.861281152889195e-13,1.5835674264812767e-12
12,3.4876535183795982,8.707603323215644e-18,6.681305694542822e-17,3.806153653858411e-16,3.28588804649647e-12,1.7524736247981172e-11,5.7503040813688216e-11,1.1670486935265042e-17,2.4268429785915387e-16,7.806087287826287e-15,4.637279576926508e-13,1.074303101987974e-12,2.164063802565703e-12
13,3.8702983468047316,1.1899960705958745e-17,9.130787459918032e-17,5.201555151346747e-16,4.490551209795753e-12,2.3949606452244018e-11,7.858464617142567e-11,1.594859818970777e-17,3.3164634646147284e-16,1.066760541165884e-14,6.337191333658716e-13,1.4681159922976026e-12,2.957355955707401e-12
14,4.29492471495246,1.6262808803963797e-17,1.2478381598009958e-16,7.10858623821059e-16,6.136908982627848e-12,3.2730181240681855e-11,1.0739590719598734e-10,2.1794961393794942e-17,4.532197269967955e-16,1.457808676008801e-14,8.660249560448322e-13,2.006291148170528e-12,4.041449794875883e-12
15,4.766138590410881,2.2225393005038945e-17,1.7053446205124222e-16,9.71487304308306e-16,8.38694075661847e-12,4.473035070196517e-11,1.4677146324082322e-10,2.97844613592036e-17,6.193589978006576e-16,1.992205693562625e-14,1.1834885308292821e-12,2.7417484297545033e-12,5.522946477203317e-12
16,5.2890512804379295,3.037442747559602e-17,2.330616447813028e-16,1.3276872387131594e-15,1.1462048103998497e-11,6.113092322132533e-11,2.005858418199737e-10,4.0702723461592536e-17,8.464010044331164e-16,2.722500046106521e-14,1.6173267600632799e-12,3.746806994146598e-12,7.547524880295306e-12
17,5.869334874857365,4.151190004010154e-17,3.1851898143977285e-16,1.8145138696773946e-15,1.5664867939660958e-11,8.354596234485845e-11,2.7413518894406675e-10,5.562336741978567e-17,1.1566713489942186e-15,3.7205033837075186e-14,2.2102000299252584e-12,5.120296735993515e-12,1.0314266806317873e-11
18,6.513283771823168,5.673412207787731e-17,4.3531842097490767e-16,2.4798877260455805e-15,2.14091026708971e-11,1.1418188091145119e-10,3.746592967406992e-10,7.601358147126869e-17,1.5806797736409515e-15,5.0843521381444626e-14,3.0204072107788884e-12,6.997276704971091e-12,1.409523365030148e-11
19,7.227882953828904,7.753984905065019e-17,5.949598480615927e-16,3.3893204459246467e-15,2.9260320396471766e-11,1.560550421145161e-10,5.12055606938256e-10,1.038783992497674e-16,2.1601203552600638e-15,6.948157830613582e-14,4.127618513235791e-12,9.562316222329582e-12,1.9262219728433692e-11
20,8.020883754559184,1.059781917344467e-16,8.131659994718551e-16,4.632380078958519e-15,3.999177046582894e-11,2.1328944248442103e-10,6.998559831520064e-10,1.4195786808491313e-16,2.951971561500843e-15,9.495195150050481e-14,5.640709990128999e-12,1.3067644810465514e-11,2.6323313287268662e-11
21,8.90088793843442,1.448510113618014e-16,1.1114354330905517e-15,6.3315379180158475e-15,5.466075900445336e-11,2.9152404802375125e-10,9.565632825779338e-10,1.9399649955141929e-16,4.034099394645408e-15,1.2975924804432682e-13,7.708470180851097e-12,1.7857955918971707e-11,3.597286084397179e-11
22,9.877441004868608,1.9798995116973905e-16,1.519168178786677e-15,8.654277739809348e-15,7.471318912065624e-11,3.984703419768333e-10,1.3074808096114842e-09,2.651115027662551e-16,5.51291469328504e-15,1.7732623694961436e-13,1.0534231897996892e-11,2.440430389702613e-11,4.9159748857318826e-11
23,10.961135729321438,2.706357674266957e-16,2.0765763286828226e-15,1.1829676626512801e-14,1.0212670468931915e-10,5.446757583430354e-10,1.7872173320630849e-09,3.62296017843394e-16,7.533837722041438e-15,2.4233044902107814e-13,1.4395868258677908e-11,3.335042813260382e-11,6.718071854049691e-11
24,12.163727064265592,3.6995797112438225e-16,2.838671224979537e-15,1.6171118863612935e-14,1.3960678155637067e-10,7.445695016339769e-10,2.4431186772364864e-09,4.951068475081776e-16,1.0295599345534291e-14,3.311641827703705e-13,1.967311976853686e-11,4.557606079711039e-11,9.180789225317202e-11
25,13.498259646412265,5.057670751803796e-16,3.880728501384045e-15,2.2107428757884517e-14,1.9085550006806778e-10,1.017896000363028e-09,3.3399712511911856e-09,6.766043366691982e-16,1.4069785543982004e-14,4.525631655866823e-13,2.688494052990192e-11,6.228344556093944e-11,1.2546305580620896e-10
26,14.979209293279437,6.914915014807886e-16,5.305783847840014e-15,3.0225571920072206e-14,2.6094018923803343e-10,1.3916810092695117e-09,4.566453311665585e-09,9.24636860368288e-16,1.9227547957327314e-14,6.184657145509741e-13,3.674053749807767e-11,8.511557853721326e-11,1.714558416576958e-10
27,16.622640023931293,9.455186094977763e-16,7.254922664070989e-15,4.132927255351916e-14,3.567994752821798e-10,1.902930534838292e-09,6.243990817438145e-09,1.2635962942408286e-15,2.6276108370305972e-14,8.451869252869119e-13,5.020912427447001e-11,1.1631780456918885e-10,2.3430924661419337e-10
28,18.44637830710947,1.2930374455428596e-15,9.921419393473514e-15,5.6519561298886004e-14,4.879386586954187e-10,2.6023395130422334e-09,8.538926527169827e-09,1.7268172009433635e-15,3.5908649079219613e-14,1.1550234257965546e-12,6.86152530176171e-11,1.5895866949081293e-10,3.202045140822131e-10
29,20.470206426844374,1.7685740832375527e-15,1.357019107892965e-14,7.730559672013202e-14,6.673864465047369e-10,3.5593943813585967e-09,1.1679262813832894e-08,2.359855842551789e-15,4.907249897756701e-14,1.5784466231637797e-12,9.376910632656116e-11,2.1723176298986667e-10,4.3758916285728544e-10
30,22.71607706300382,2.4194851767248285e-15,1.856460324279428e-14,1.0575737093231168e-13,9.130132742357843e-10,4.869404129257517e-09,1.5977732299126224e-08,3.224971776540309e-15,6.706232700885147e-14,2.1571003273547764e-12,1.2814457390226396e-10,2.9686826287357813e-10,5.980080115438984e-10
31,25.2083514143573,3.31078080434578e-15,2.5403475354099696e-14,1.4471651943524007e-13,1.249351246922936e-09,6.663206650255658e-09,2.1863646821151375e-08,4.407253268721114e-15,9.164751830320727e-14,2.947897881727368e-12,1.7512264643924958e-10,4.0570079758426147e-10,8.17239016716498e-10
32,27.974063447102104,4.531797393974778e-15,3.477228189087565e-14,1.9808799929638179e-13,1.7101122241414255e-09,9.12059852875427e-09,2.992696392247495e-08,6.022989772493831e-15,1.2524627738828234e-13,4.0286222981581264e-12,2.393240969202847e-10,5.544341578653263e-10,1.1168457856279954e-09
33,31.043213135183343,6.205455623394668e-15,4.761418780214777e-14,2.712447583810877e-13,2.3416813673187427e-09,1.2488967292366626e-08,4.097942392807799e-08,8.231116315792644e-15,1.7116361080522452e-13,5.505581111887795e-12,3.270642244685819e-10,7.57698786685548e-10,1.5262997141867155e-09
34,34.449091873216915,8.501146950435933e-15,6.522892628636377e-14,3.71591014500187e-13,3.2079799812965786e-09,1.7109226566915086e-08,5.6139649672690123e-08,1.1248857770779601e-14,2.3391664503475463e-13,7.524070429461853e-12,4.469744809581299e-10,1.035490880886334e-09,2.0858809111379395e-09
35,38.22864359180424,1.1652741956857265e-14,8.941097602116895e-14,5.0934941257961e-13,4.397261115795194e-09,2.3452059284241036e-08,7.695206952641589e-08,1.5373115760609464e-14,3.1967936084975973e-13,1.028268007828845e-11,6.108522818785217e-10,1.4151411196852418e-09,2.850643982099768e-09
36,42.42286549229504,1.5983875183882885e-14,1.2264357059331523e-13,6.986662423143777e-13,6.031651012785995e-09,3.2168805401525304e-08,1.0555389272375491e-07,2.1009708667348014e-14,4.368906305660448e-13,1.4052851492729468e-11,8.348228609542258e-10,1.934006294543956e-09,3.895840017786387e-09
37,47.077252747811094,2.1943134019422522e-14,1.6836870128110365e-13,9.591495687735e-13,8.280427931857555e-09,4.4162282303240296e-08,1.4490748880750723e-07,2.8713298915449015e-14,5.970844940033769e-13,1.920558404278378e-11,1.1409257847198284e-09,2.6431447346009355e-09,5.324320328692533e-09
38,52.24229199425044,3.0126637441546666e-14,2.3116036275903734e-13,1.3168561648977946e-12,1.1368542430772329e-08,6.063222629745241e-08,1.9894949253851573e-07,3.923912045805374e-14,8.159658161476076e-13,2.6246034213665087e-11,1.5591703493266388e-09,3.612077975940046e-09,7.276128296857647e-09
39,57.97400896422151,4.1300766938902135e-14,3.1689896644943775e-13,1.805285095757043e-12,1.5585195071283824e-08,8.31210403801804e-08,2.727409137474669e-07,5.361254480552063e-14,1.1148568919823497e-12,3.5860046525546915e-11,2.1302997935968465e-09,4.935194521832694e-09,9.941399036785284e-09
40,64.33457620415145,5.646916767698906e-14,4.332854375215513e-13,2.4683063858809684e-12,2.1309119878109078e-08,1.1364863934991508e-07,3.729095978669089e-07,7.322746735110918e-14,1.5227433608111447e-12,4.89799616057088e-11,2.9097006894480476e-09,6.740806597221309e-09,1.3578603217424222e-08
41,71.39298746654045,7.695351125932838e-14,5.904609040023939e-13,3.3636912154234732e-12,2.9039060852576747e-08,1.5487499121374266e-07,5.081835649200931e-07,9.997921758459977e-14,2.079038034540684e-12,6.68735163976462e-11,3.972684142434428e-09,9.203384929973091e-09,1.8539192664693998e-08
42,79.22580609256737,1.0446172317818118e-13,8.015302030023966e-13,4.566094189234963e-12,3.941951818044573e-08,2.1023743029571056e-07,6.898415681578002e-07,1.3643902191514947e-13,2.8372088000898633e-12,9.126053783728542e-11,5.421418089343688e-09,1.255961857364621e-08,2.5299951083603878e-08
43,87.91799550283257,1.4119879706446968e-13,1.083412153576434e-12,6.1718971043903406e-12,5.3282564929988556e-08,2.8417367962660563e-07,9.324448862747997e-07,1.8609675005905905e-13,3.869826458181758e-12,1.244753096421521e-10,7.394572850028837e-09,1.7130760435900138e-08,3.4508006633467905e-08
44,97.56384080465978,1.9005023710367044e-13,1.4582471023048926e-12,8.307227345097545e-12,7.171707060515866e-08,3.8249104322751284e-07,1.2550487355902764e-06,2.5368330740415477e-13,5.275268776483749e-12,1.6968221223721613e-10,1.008013142003264e-08,2.335230445640895e-08,4.7040613293485657e-08
45,108.26797151272994,2.545968757016609e-13,1.9535106185913606e-12,1.1128605573122916e-11,9.60742927176079e-08,5.123962278272422e-07,1.681300122558138e-06,3.455975040400439e-13,7.186597103879059e-12,2.3116124442413533e-10,1.373235115390903e-08,3.1813280173222584e-08,6.40843053849088e-08
46,120.14649647660701,3.3953021374605514e-13,2.6052003822024357e-12,1.4841100537956497e-11,1.2812460896077552e-07,6.833312477908028e-07,2.2421806568135714e-06,4.705106321425003e-13,9.784128377002986e-12,3.1471240957875845e-10,1.8695786707649016e-08,4.331190587272022e-08,8.724700463569541e-08
47,133.32826332583574,4.5059724607802076e-13,3.457412831542046e-12,1.9695917360014114e-11,1.7003669663321537e-07,9.068623820438154e-07,2.9756421910812688e-06,6.400953371478329e-13,1.3310591779100632e-11,4.281432387545108e-10,2.543425180719866e-08,5.892268335334356e-08,1.1869317510026042e-07
48,147.95625609394725,5.951422950077604e-13,4.566500628361432e-12,2.601408144845242e-11,2.24581998116136e-07,1.197770656619392e-06,3.93018496703238e-06,8.701600601403957e-13,1.8094719131396308e-11,5.820275898952316e-10,3.45758964294197e-08,8.010082672815563e-08,1.6135418333729194e-07
49,164.18914618154898,7.822167270848071e-13,6.001914509707325e-12,3.41912342971032e-11,2.951761234282291e-07,1.5742726582838884e-06,5.165582159994009e-06,1.181928012837925e-12,2.4577840796762148e-11,7.905611211697379e-10,4.696402700018245e-08,1.08799995883756e-07,2.1916545933418477e-07
50,182.20301348196176,1.0230509622184752e-12,7.849824993122893e-12,4.471826532967549e-11,3.860569668748963e-07,2.0589704899994473e-06,6.755996920310686e-06,1.604004609086492e-12,3.3354797831335e-11,1.0728772550843424e-09,6.373528248025797e-08,1.4765340441259763e-07,2.9743131824120386e-07
51,202.1932563386374,1.3315183959066477e-12,1.0216682031484971e-11,5.820159026132832e-11,5.024597720402445e-07,2.6797854508813036e-06,8.793046010704277e-06,2.1747343415030994e-12,4.5222952531918756e-11,1.4546236323961128e-09,8.64132850928384e-08,2.0019077713174224e-07,4.032619970999125e-07
52,224.37671105186908,1.7244174796603136e-12,1.3231379403682909e-11,7.537548102917723e-11,6.50723577230307e-07,3.470525745228304e-06,1.1387662601530372e-05,2.945520723437113e-12,6.125122563968567e-11,1.9701827355440294e-09,1.1704055854717007e-07,2.711439606342773e-07,5.46189273220127e-07
53,248.99400392531024,2.2226070060801784e-12,1.7053965707030302e-11,9.715168988841033e-11,8.387196249359164e-07,4.473171332991554e-06,1.4677593436378538e-05,3.985145157936377e-12,8.286990593324653e-11,2.665560668553471e-09,1.5835013872594878e-07,3.66844488048448e-07,7.389673140544276e-07
54,276.31216136520254,2.8511741138417332e-12,2.187693345211896e-11,1.2462679302641538e-10,1.0759147599402767e-06,5.7382120530148095e-06,1.882850829895484e-05,5.385265853071711e-12,1.1198499853407401e-10,3.602065239471807e-09,2.1398407363198856e-07,4.957297705807734e-07,9.985923436159466e-07
55,306.62750634433587,3.640611172770777e-12,2.793424925019087e-11,1.5913363302362833e-10,1.373815536894633e-06,7.327016196771376e-06,2.4041771895656075e-05,7.267858702865882e-12,1.5113295580793954e-10,4.861282973440094e-09,2.887890875310947e-07,6.690280527803693e-07,1.3476824084784419e-06
56,340.26887264899887,4.628508612668816e-12,3.5514342814188404e-11,2.0231531357263065e-10,1.7466070236486099e-06,9.315237459459253e-06,3.056562291385067e-05,9.795237726490687e-12,2.0368904941179309e-10,6.5517815256659565e-09,3.892147440989677e-07,9.016808238292751e-07,1.8163354724618494e-06
57,377.60117177419494,5.860220966371823e-12,4.496521747782154e-11,2.5615431268103253e-10,2.2114041382535183e-06,1.1794155404018764e-05,3.869957241943657e-05,1.3181521225486332e-11,2.741058056160734e-10,8.816779097841852e-09,5.237690553173378e-07,1.2133983114851657e-06,2.4442555914809093e-06
58,419.0293511576207,7.391306971614226e-12,5.671317298974438e-11,3.230791412120684e-10,2.789172442118576e-06,1.487558635796574e-05,4.881051773707508e-05,1.770993377992392e-11,3.6827279515868287e-10,1.1845717296505405e-08,7.037059780102221e-07,1.6302521823903478e-06,3.28396123071437e-06
59,465.0027866877929,9.290628535089012e-12,7.128658372835594e-11,4.060998007476014e-10,3.5058975604109476e-06,1.869812032219172e-05,6.135320730719158e-05,2.375256263386344e-11,4.939274613929219e-10,1.5887475669008e-08,9.438104357826534e-07,2.1864941762298134e-06,4.404448700319049e-06
60,516.0201571323282,1.1640940952664665e-11,8.93204274355402e-11,5.088335825221348e-10,4.392807906665912e-06,2.342830883555153e-05,7.687413836665346e-05,3.179783884124771e-11,6.612265825266082e-10,2.1268753132225295e-08,1.2634902850826906e-06,2.9270858271082333e-06,5.896287997052557e-06
61,572.6348533598218,1.4546009872222877e-11,1.1161089335919441e-10,6.358161547921321e-10,5.489060329140708e-06,2.927498842208378e-05,9.605855575996239e-05,4.248305059373778e-11,8.834223765850108e-10,2.8415815297798118e-08,1.6880682355127595e-06,3.910691412271226e-06,7.87765176572621e-06
62,635.4609810297297,1.8136562301254892e-11,1.3916104407252182e-10,7.927616854951038e-10,6.84398577405845e-06,3.6501257461645063e-05,0.00011976975104602287,5.6638146466722877e-11,1.177773376857681e-09,3.788379333204643e-08,2.250522376161174e-06,5.2137101714400526e-06,1.0502437755418811e-05
63,705.1800218620772,2.256863379420618e-11,1.7316813351529271e-10,9.864905966649872e-10,8.516465582719313e-06,4.5421149774503005e-05,0.00014903814769758798,7.533900448318692e-11,1.5666521462066684e-09,5.039231425696609e-08,2.9936028271465005e-06,6.935179882889392e-06,1.3970146526683668e-05
64,782.5482257424941,2.8040700470662015e-11,2.1515506021514252e-10,1.2256784167993775e-09,1.0581396404023402e-05,5.643411415479148e-05,0.00018517443707040954,9.997587307992027e-11,2.0789684865625807e-09,6.687127934484735e-08,3.972551248208753e-06,9.203077058350277e-06,1.8538572491640846e-05
65,868.4048138455322,3.479821490320588e-11,2.670051709554162e-10,1.5210540476558546e-09,1.313140185026637e-05,7.003414320142064e-05,0.00022979953237966145,1.323381859648265e-10,2.751933138606326e-09,8.851759458574488e-08,5.258470965489795e-06,1.218212440338469e-05,2.4539531172285708e-05
