,distance,lgrb_al,ccsn_al,sn_al,lgrb_fe,ccsn_fe,sn_fe
42,79.22580609256737,1.4030273664191985e-13,3.680071780771668e-08,7.992655898863466e-09,3.925970774457788e-13,1.0297628260872886e-07,2.2365161379083296e-08
43,87.91799550283257,1.9136327993231045e-13,5.019364719536012e-08,1.0901432750242274e-08,5.339826501991432e-13,1.4006102300305395e-07,3.0419503433475775e-08
44,97.56384080465978,2.608568096203578e-13,6.842145826107745e-08,1.4860285466077759e-08,7.252081630957783e-13,1.9021853458249923e-07,4.131308797963655e-08
45,108.26797151272994,3.553604830473686e-13,9.320930702881799e-08,2.0243896370321404e-08,9.83298588552558e-13,2.5791438388263816e-07,5.6015780249510475e-08
46,120.14649647660701,4.837862028591915e-13,1.2689474173355842e-07,2.755995172025722e-08,1.3310461624366477e-12,3.4912686227846494e-07,7.58259904011041e-08
47,133.32826332583574,6.581286838662624e-13,1.726239170796754e-07,3.7491756990742e-08,1.7983370926003756e-12,4.7169497510829523e-07,1.0244625240633285e-07
48,147.95625609394725,8.94629551953439e-13,2.3465693165991842e-07,5.0964552344888526e-08,2.425144916364352e-12,6.361035846201578e-07,1.3815374728469052e-07
49,164.18914618154898,1.2150884861942635e-12,3.1871173408374124e-07,6.922020474631254e-08,3.2636869565253617e-12,8.560490377771441e-07,1.8592315039222345e-07
50,182.20301348196176,1.6488794493393836e-12,4.3249297031852685e-07,9.393206699105504e-08,4.382688433452387e-12,1.1495576218891507e-06,2.496695460040499e-07
51,202.1932563386374,2.23536298680314e-12,5.863247178500039e-07,1.2734239965804772e-07,5.872014531170754e-12,1.5402005327660993e-06,3.3451230321013716e-07
52,224.37671105186908,3.0272812207441294e-12,7.940409759328863e-07,1.7245577446042376e-07,7.847839299005822e-12,2.0584496521982482e-06,4.47069533836807e-07
53,248.99400392531024,4.0951673537008645e-12,1.0741422567084234e-06,2.3329027137886068e-07,1.0461600055971911e-11,2.7440262441893536e-06,5.959681999098752e-07
54,276.31216136520254,5.5329488367397636e-12,1.4512652686530526e-06,3.151966755355849e-07,1.3907526146679638e-11,3.6478757106044953e-06,7.922730058969137e-07
55,306.62750634433587,7.465512623089783e-12,1.9581672454005985e-06,4.252894486104425e-07,1.8434198805856783e-11,4.835199686782107e-06,1.0501449319729888e-06
56,340.26887264899887,1.0058867574985673e-11,2.6383914950782093e-06,5.730256528372986e-07,2.4359836069219543e-11,6.389465198483814e-06,1.3877119727957033e-06
57,377.60117177419494,1.3531705402839922e-11,3.549299777794078e-06,7.708635454896512e-07,3.208464465254826e-11,8.41564449902905e-06,1.8277727896328719e-06
58,419.0293511576207,1.817280988465896e-11,4.766638658271203e-06,1.0352543335932768e-06,4.211647531494313e-11,1.1046944344903117e-05,2.3992582249086454e-06
59,465.0027866877929,2.436075446065525e-11,6.389706088040721e-06,1.387764290996344e-06,5.508805678700895e-11,1.4449326370363003e-05,3.1382130710632145e-06
60,516.0201571323282,3.259115211050221e-11,8.548498914230088e-06,1.856627107934347e-06,7.17877711519024e-11,1.8829579318531777e-05,4.0895492582436195e-06
61,572.6348533598218,4.350845246137478e-11,1.1412053104622892e-05,2.478555283660284e-06,9.319445533865368e-11,2.4444447301941948e-05,5.309028398390516e-06
