,distance,sn_z0,sn_z25,sn_z75,sn_z100,sn_z150
0,1.0,1.5718780909242672e-13,1.239483698783035e-13,7.775315088701613e-14,6.220991017810978e-14,4.087431598521056e-14
1,1.2689610031679222,3.20876592476021e-13,2.532726431061213e-13,1.5887856543871973e-13,1.271179236851224e-13,8.352134470417937e-14
2,1.6102620275609394,6.548517908974044e-13,5.175321738587363e-13,3.246490515237315e-13,2.5974994521913143e-13,1.706655133143258e-13
3,2.043359717856942,1.3359903845674913e-12,1.0575210371879109e-12,6.63384635434197e-13,5.30770144433209e-13,3.4873551651182725e-13
4,2.592943797404667,2.724459522567048e-12,2.1609506418185577e-12,1.3555658226628616e-12,1.084579239761279e-12,7.126068521437364e-13
5,3.2903445623126686,5.552969722382138e-12,4.415779656855821e-12,2.77001514494264e-12,2.216267484724962e-12,1.4561606554432512e-12
6,4.1753189365604015,1.1310362962002774e-11,9.023619097481875e-12,5.660487959521481e-12,4.52890137509544e-12,2.9756196773638374e-12
7,5.298316906283709,2.301740507711938e-11,1.844045050040015e-11,1.1567566735145417e-11,9.255062012875588e-12,6.080786727860645e-12
8,6.7233575364993365,4.6791496290876225e-11,3.768689300132119e-11,2.3640496239769468e-11,1.891434099897162e-11,1.2426963402667358e-11
9,8.531678524172808,9.499163731517224e-11,7.702900439293752e-11,4.831853119757625e-11,3.8658412303272834e-11,2.5398445617409976e-11
10,10.826367338740546,1.925119768853456e-10,1.5746749412664015e-10,9.877325978939045e-11,7.902467104814679e-11,5.1916885358399787e-11
11,13.73823795883263,3.893067813748211e-10,3.2199161506260537e-10,2.019646595786729e-10,1.6157994611945344e-10,1.061465110252819e-10
12,17.43328822199988,7.851441435548177e-10,6.586983479254555e-10,4.131321570332244e-10,3.305087849676714e-10,2.170984668644878e-10
13,22.122162910704493,1.5781033534357286e-09,1.3484403933151582e-09,8.456458794829917e-10,6.764777109587018e-10,4.442788677994664e-10
14,28.072162039411772,3.158561599208729e-09,2.7629220410388683e-09,1.7327990827885287e-09,1.3860104322550971e-09,9.100256801680701e-10
15,35.62247890262442,6.288890471497489e-09,5.643467142740303e-09,3.5567073274203456e-09,2.8444059521326594e-09,1.8667844604329443e-09
16,45.20353656360243,1.2441348404614361e-08,1.1428466292560426e-08,7.320457981555744e-09,5.852776865758559e-09,3.838566617456761e-09
17,57.36152510448679,2.442070460733032e-08,2.2877805117382298e-08,1.5133531207489304e-08,1.2094089799666439e-08,7.923350190956358e-09
18,72.7895384398315,4.748422122804288e-08,4.5202069724437265e-08,3.1507139649046156e-08,2.516168708933067e-08,1.64561185732588e-08
19,92.36708571873861,9.13012710166792e-08,8.801994065881109e-08,6.598790200250246e-08,5.292271205556339e-08,3.451863440516999e-08
20,117.21022975334806,1.732809237617208e-07,1.687308874677056e-07,1.3599342444486765e-07,1.128261775590856e-07,7.356967846109762e-08
21,148.73521072935117,3.240620985201081e-07,3.1798860627955616e-07,2.722706657969605e-07,2.3690936411222603e-07,1.6085429580410524e-07
22,188.73918221350976,5.963819454139085e-07,5.885496567748459e-07,5.282936368075737e-07,4.79264057444142e-07,3.5822700758177065e-07
23,239.5026619987486,1.0793363090650518e-06,1.0697569177715227e-06,9.94468168313488e-07,9.3130005889397e-07,7.644101219865643e-07
24,303.9195382313198,1.9217321466086873e-06,1.9104937269067785e-06,1.8210109283939796e-06,1.7453320163868945e-06,1.5357520684988151e-06
25,385.6620421163472,3.3716444832458493e-06,3.3589496401906733e-06,3.257517989233768e-06,3.1701873969480503e-06,2.92671360939611e-06
26,489.3900918477494,5.845291771872627e-06,5.8315172081877675e-06,5.71964913268255e-06,5.623796160179807e-06,5.353506552241141e-06
27,621.0169418915616,1.0047357521588032e-05,1.003231897517938e-05,9.913092427100087e-06,9.81131951522756e-06,9.52006693376055e-06
28,788.0462815669912,1.7177676615431355e-05,1.716111655555959e-05,1.7031750302679436e-05,1.6924322244072906e-05,1.6610110981080386e-05
29,1000.0,2.928042191469777e-05,2.9262085602155425e-05,2.912380609877981e-05,2.899950881992162e-05,2.8661029249069413e-05
